out_acc_num,totalriskyamount,net_worth,credit_score,ratio_cash_deposits,ratio_cash_withdrawals,ratio_incoming_international,ratio_outgoing_international
4292057,422359,0.4984,7.0,0.6827,0.5957,0.4877,0.528
4292058,569687,0.8062,8.0,0.8277,0.3265,0.8125,0.8053
4292059,501429,0.3414,9.0,0.3568,0.0751,0.1618,0.5905
4292060,690556,0.0469,8.0,0.0071,0.2747,0.7,0.715
4292061,402164,0.7403,1.0,0.8558,0.2243,0.077,0.6557
4292062,617665,0.8352,4.0,0.8443,0.7303,0.4075,0.9273
4292063,371098,0.6825,5.0,0.9235,0.6501,0.2403,0.2437
4292064,595447,0.3551,5.0,0.925,0.8708,0.6804,0.4295
4292065,403210,0.0305,1.0,0.0397,0.927,0.5651,0.3496
4292066,443695,0.4126,7.0,0.4358,0.6303,0.2992,0.1807
4292067,532797,0.5453,4.0,0.7407,0.496,0.139,0.4289
4292068,606139,0.594,5.0,0.3153,0.2398,0.9816,0.64
4292069,256702,0.3185,9.0,0.765,0.9902,0.3663,0.0206
4292070,458375,0.2059,2.0,0.7916,0.4784,0.1767,0.9876
4292071,389881,0.7031,6.0,0.9689,0.2593,0.1813,0.0986
4292072,823822,0.7967,2.0,0.4999,0.2407,0.0406,0.393
4292073,501814,0.7186,7.0,0.9244,0.1787,0.7073,0.1401
4292074,337532,0.3988,2.0,0.696,0.2587,0.9579,0.4663
4292075,376647,0.8751,3.0,0.3901,0.6719,0.0587,0.2736
4292076,846400,0.3322,3.0,0.2914,0.9829,0.1535,0.5914
4292077,437416,0.179,4.0,0.1021,0.2984,0.6946,0.8462
4292078,338092,0.3408,1.0,0.2297,0.0247,0.19,0.3786
4292079,514962,0.3235,6.0,0.6154,0.9503,0.7407,0.0146
4292080,709458,0.0565,3.0,0.4506,0.4133,0.0698,0.2881
4292081,701378,0.4962,8.0,0.8492,0.8404,0.6967,0.9746
4292082,361865,0.733,3.0,0.9165,0.9322,0.3305,0.9513
4292083,453326,0.7965,5.0,0.3014,0.8313,0.365,0.8247
4292084,311022,0.3277,10.0,0.1975,0.5231,0.5493,0.619
4292085,263696,0.7608,3.0,0.6828,0.3196,0.0371,0.9555
4292086,382745,0.6868,4.0,0.2613,0.2316,0.6634,0.8222
4292087,600128,0.9952,6.0,0.7179,0.2446,0.0723,0.3642
4292088,313709,0.6905,7.0,0.1388,0.6062,0.6012,0.5603
4292089,537447,0.5504,6.0,0.635,0.1117,0.1449,0.3403
4292090,458852,0.8911,10.0,0.0357,0.7078,0.3907,0.1005
4292091,172352,0.7866,3.0,0.9577,0.7935,0.1656,0.7892
4292092,277973,0.5057,7.0,0.6611,0.8494,0.1591,0.7916
4292093,296004,0.4008,6.0,0.1261,0.2511,0.1233,0.2803
4292094,316472,0.7899,3.0,0.3281,0.3033,0.0634,0.4903
4292095,316671,0.4514,3.0,0.763,0.3223,0.5182,0.618
4292096,531978,0.6613,7.0,0.1772,0.3099,0.0586,0.1511
4292097,473803,0.7777,2.0,0.5103,0.736,0.5694,0.3975
4292098,303288,0.8616,2.0,0.307,0.3544,0.4252,0.3959
4292099,461818,0.9364,4.0,0.1852,0.0851,0.6359,0.5827
4292100,352756,0.7594,9.0,0.0198,0.5783,0.4084,0.6598
